"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_INDEX|INDSTR","41",,"INDSTR","12544.72","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|ALLCAP","36",,"ALLCAP","9413.26","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|SMLCAP","31",,"SMLCAP","45495.26","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|SENSEX","1",,"SENSEX","73872.29","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|AUTO","13",,"AUTO","47807.66","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|CONDIS","38",,"CONDIS","8580.85","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|SMEIPO","27",,"SMEIPO","57875.7","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BANKEX","12",,"BANKEX","53939.04","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|MFG","35",,"MFG","991.5","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|POWER","22",,"POWER","6816.36","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|UTILS","46",,"UTILS","5616.51","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSECD","8",,"BSECD","52531.91","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSE500","4",,"BSE500","32299.06","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|MIDSEL","43",,"MIDSEL","14419.01","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|FINSER","40",,"FINSER","10407.58","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|CARBON","26",,"CARBON","3796.15","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSE200","3",,"BSE200","10132.4","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSEIT","34",,"BSEIT","37981.85","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSEHC","33",,"BSEHC","34755.44","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSEIPO","23",,"BSEIPO","13739.86","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSEFMC","32",,"BSEFMC","19521.99","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|GREENX","25",,"GREENX","6509.32","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|MIDCAP","30",,"MIDCAP","40025.84","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSECG","7",,"BSECG","59253.83","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|COMDTY","37",,"COMDTY","6697.82","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|OILGAS","15",,"OILGAS","28881.0","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|TECK","11",,"TECK","16828.24","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|REALTY","21",,"REALTY","7315.28","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|ENERGY","39",,"ENERGY","12507.41","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|INFRA","28",,"INFRA","581.04","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSEPSU","10",,"BSEPSU","19095.16","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSE100","2",,"BSE100","23320.87","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|SMLSEL","44",,"SMLSEL","6726.04","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|CPSE","29",,"CPSE","3682.27","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|LRGCAP","42",,"LRGCAP","8687.46","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|TELCOM","45",,"TELCOM","2508.33","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|METAL","14",,"METAL","28338.57","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|SENSEX50","47",,"SENSEX50","0.0","",,"",,"INDEX",,"BSE_INDEX"
"BSE_EQ|INE008B01013","524288","AIMCOPEST","AIMCO PESTICIDES LTD","112.8","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE916DA7SD0","974591","792KMPL25","KMPL792201125PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE499G01013","524314","GUJTERC","GUJARAT TERCE LABORATORIES LTD","35.82","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE999H07082","974380","7LKCP26A","LKCPL7261026PVT","1000000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE573R01012","524324","SEYAIND","SEYA INDUSTRIES LTD","26.55","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE704P01025","540678","COCHINSHIP","COCHIN SHIPYARD LIMITED","876.35","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE785A01026","524330","JAYAGROGN","JAYANT AGROORGANICS LTD","233.75","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE412G01024","524332","BCLIND","BCL INDUSTRIES LIMITED","72.05","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE733E07KL3","958879","732NTPC29","NTPC73217729PVT","1000000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE065E01017","524336","SHHARICH","SHREE HARI CHEMICALS EXPORT LT","85.11","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE880L01014","540680","KIOCL","KIOCL LIMITED","467.3","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE148I07639","950322","1015IBHF24","IBHFL10155624PVT","1000000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE803D01021","524342","INDOBORAX","INDO BORAX  CHEMICALS LTD","175.75","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE163N08115","959105","88OPAL25","OPAL88310032025PVT","1019920.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE767A01016","524348","AARTIDRUGS","AARTI DRUGS LTD","489.25","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE338D01028","524370","BODALCHEM","BODAL CHEMICALS LTD","97.94","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE496X07052","956697","12BRPL24","BRPL1230624PVT","1.0","",,"0.01","1000000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE191A01027","524372","ORCHPHARMA","ORCHID PHARMA LIMITED","1134.15","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE235P07035","950360","970LTFH24","LTFH9710624PVT","2500000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE040A08476","950373","924HDFCB24","HDFCB924M00924624PVT","1000000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE985V07066","974844","950AFL26","AFPL95015526PVT","100000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE579C01029","524394","VIMTALABS","VIMTA LABS LTD","525.2","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE829A01014","524396","BIOFILCHEM","BIOFIL CHEMICALS  PHARMACEUTI","61.92","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE806D01016","524400","ISHITADR","ISHITA DRUGS  INDUSTRIES LTD","71.08","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE750C01026","524404","MARKSANS","MARKSANS PHARMA LTD","152.5","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE113E01015","524408","UNIVSTAR","UNIVERSAL STARCHCHEM ALLIED L","152.85","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE198H01019","524412","AAREYDRUGS","AAREY DRUGS  PHARMACEUTICALS","46.04","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE744C01029","524414","NORRIS","NORRIS MEDICINES LTD","18.1","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|IN002023Y268","804813","182TB210324","182TB210324","96.61","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE261F08BX4","959228","7NABARD30","NABARD743310130PVT","1000000.0","",,"0.01","1","EQUITY",,"BSE_EQ"
